model,region,variable,unit,year,Historical Reference,SSP1,SSP2,SSP3,SSP4,SSP5,all_equal,all_ssps_equal,hist_ssp2_equal,max_diff
OECD ENV-Growth 2025,Oman,GDP|PPP [per capita],USD_2017/yr,2025,34676.12748951617,34676.12748951617,34676.12748951617,34676.12748951617,34676.12748951617,34676.12748951617,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Other Asia (R9),GDP|PPP [per capita],USD_2017/yr,2025,12970.13627502723,12970.32804537645,12970.13627502723,12970.05347734837,12969.93530826163,12970.41985240059,FALSE,FALSE,TRUE,0.4845441389588814
OECD ENV-Growth 2025,Other OECD (R9),GDP|PPP [per capita],USD_2017/yr,2025,43380.85588426429,43335.04926161833,43380.85588426429,43335.42314435706,43335.08664728692,43334.36965008444,FALSE,FALSE,TRUE,46.486234179850726
OECD ENV-Growth 2025,Pacific OECD (R10),GDP|PPP [per capita],USD_2017/yr,2025,45990.13728924241,45990.13728924241,45990.13728924241,45990.13728924241,45990.13728924241,45990.13728924241,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Pakistan,GDP|PPP [per capita],USD_2017/yr,2025,5470.070110921851,5470.070110921851,5470.070110921851,5470.070110921851,5470.070110921851,5470.070110921851,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Palestine,GDP|PPP [per capita],USD_2017/yr,2025,5623.331592790736,5623.331592790736,5623.331592790736,5623.331592790736,5623.331592790736,5623.331592790736,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Panama,GDP|PPP [per capita],USD_2017/yr,2025,37034.64684237583,37034.64684237583,37034.64684237583,37034.64684237583,37034.64684237583,37034.64684237583,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Papua New Guinea,GDP|PPP [per capita],USD_2017/yr,2025,3468.641244289424,3468.641244289424,3468.641244289424,3468.641244289424,3468.641244289424,3468.641244289424,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Paraguay,GDP|PPP [per capita],USD_2017/yr,2025,14747.84097662306,14747.84097662306,14747.84097662306,14747.84097662306,14747.84097662306,14747.84097662306,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Peru,GDP|PPP [per capita],USD_2017/yr,2025,13737.70277696149,13737.70277696149,13737.70277696149,13737.70277696149,13737.70277696149,13737.70277696149,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Philippines,GDP|PPP [per capita],USD_2017/yr,2025,9797.802100129773,9797.802100129773,9797.802100129773,9797.802100129773,9797.802100129773,9797.802100129773,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Poland,GDP|PPP [per capita],USD_2017/yr,2025,36599.37197062934,35565.31194615248,36599.37197062934,35565.31194615248,35565.31194615248,35565.31194615248,FALSE,FALSE,TRUE,1034.0600244768648
OECD ENV-Growth 2025,Portugal,GDP|PPP [per capita],USD_2017/yr,2025,36718.63054887045,36569.16731514621,36718.63054887045,36569.16731514621,36569.16731514621,36569.16731514621,FALSE,FALSE,TRUE,149.46323372424376
OECD ENV-Growth 2025,Puerto Rico,GDP|PPP [per capita],USD_2017/yr,2025,34623.65874971337,34623.65874971337,34623.65874971337,34623.65874971337,34623.65874971337,34623.65874971337,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Qatar,GDP|PPP [per capita],USD_2017/yr,2025,90873.31814571095,90873.31814571095,90873.31814571095,90873.31814571095,90873.31814571095,90873.31814571095,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Reforming Economies (R10),GDP|PPP [per capita],USD_2017/yr,2025,20566.36850363095,20416.50689251057,20566.36850363095,20416.50689251057,20416.50689251057,20416.50689251057,FALSE,FALSE,TRUE,149.86161112038099
OECD ENV-Growth 2025,Reforming Economies (R5),GDP|PPP [per capita],USD_2017/yr,2025,20566.36850363095,20416.50689251057,20566.36850363095,20416.50689251057,20416.50689251057,20416.50689251057,FALSE,FALSE,TRUE,149.86161112038099
OECD ENV-Growth 2025,Reforming Economies (R9),GDP|PPP [per capita],USD_2017/yr,2025,20566.36850363095,20416.50689251057,20566.36850363095,20416.50689251057,20416.50689251057,20416.50689251057,FALSE,FALSE,TRUE,149.86161112038099
OECD ENV-Growth 2025,Rest of Asia (R10),GDP|PPP [per capita],USD_2017/yr,2025,15793.12990171647,15793.17001751437,15793.12990171647,15793.21203123463,15793.03299844293,15792.98744830617,FALSE,FALSE,TRUE,0.22458292846022232
OECD ENV-Growth 2025,Romania,GDP|PPP [per capita],USD_2017/yr,2025,32073.02280728991,31950.83769131432,32073.02280728991,31950.83769131432,31950.83769131432,31950.83769131432,FALSE,FALSE,TRUE,122.18511597559336
OECD ENV-Growth 2025,Russian Federation,GDP|PPP [per capita],USD_2017/yr,2025,27031.58852654382,26660.6009928317,27031.58852654382,26660.6009928317,26660.6009928317,26660.6009928317,FALSE,FALSE,TRUE,370.98753371211933
OECD ENV-Growth 2025,Rwanda,GDP|PPP [per capita],USD_2017/yr,2025,2717.931176572566,2717.931176572566,2717.931176572566,2717.931176572566,2717.931176572566,2717.931176572566,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Saint Lucia,GDP|PPP [per capita],USD_2017/yr,2025,16319.45174261993,16319.45174261993,16319.45174261993,16319.45174261993,16319.45174261993,16319.45174261993,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Saint Vincent and the Grenadines,GDP|PPP [per capita],USD_2017/yr,2025,17304.42285254871,17304.42285254871,17304.42285254871,17304.42285254871,17304.42285254871,17304.42285254871,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Samoa,GDP|PPP [per capita],USD_2017/yr,2025,5114.612927702977,5114.612927702977,5114.612927702977,5114.612927702977,5114.612927702977,5114.612927702977,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Sao Tome and Principe,GDP|PPP [per capita],USD_2017/yr,2025,3494.407997237686,3494.407997237686,3494.407997237686,3494.407997237686,3494.407997237686,3494.407997237686,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Saudi Arabia,GDP|PPP [per capita],USD_2017/yr,2025,49511.99879449844,49511.99879449844,49511.99879449844,49511.99879449844,49511.99879449844,49511.99879449844,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Senegal,GDP|PPP [per capita],USD_2017/yr,2025,4187.199747160661,4187.199747160661,4187.199747160661,4187.199747160661,4187.199747160661,4187.199747160661,TRUE,TRUE,TRUE,0
